line,station,address,동네,ai 동네
5호선,광화문,서울특별시 종로구 세종로 1-68,사직동,사직동
4호선,혜화,서울특별시 종로구 명륜4가 96-5,이화동,이화동
4호선,명동,서울특별시 중구 충무로2가 109-2,명동,명동
3호선,충무로,서울특별시 중구 필동2가 16-2,필동,필동
4호선,충무로,서울특별시 중구 필동2가 16-2,필동,필동
3호선,동대입구,서울특별시 중구 장충동2가 199-3,장충동,장충동
4호선,동대문역사문화공원,서울특별시 중구 광희동2가 9,광희동,광희동
5호선,동대문역사문화공원,서울특별시 중구 광희동1가 235-6,광희동,광희동
2호선,을지로입구,서울특별시 중구 을지로3가 347-3,을지로동,을지로동
2호선,을지로3가,서울 중구 을지로3가 70-1,을지로동,을지로동
2호선,을지로4가,서울특별시 중구 을지로4가 267-1,을지로동,을지로동
2호선,동대문역사문화공원,서울특별시 중구 을지로7가 112-3,을지로동,을지로동
3호선,을지로3가,서울특별시 중구 을지로3가 282-8,을지로동,을지로동
2호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1,중림동,중림동
5호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 248-1,중림동,중림동
2호선,신당,서울특별시 중구 신당동 99,신당동,신당동
3호선,약수,서울특별시 중구 신당동 369-44,신당동,신당동
5호선,청구,서울특별시 중구 신당동 295-2,신당동,신당동
6호선,버티고개,서울특별시 중구 신당동 366-454,신당동,신당동
6호선,약수,서울특별시 중구 신당동 369-2,신당동,신당동
6호선,청구,서울특별시 중구 신당동 295-2,신당동,신당동
6호선,효창공원앞,서울특별시 용산구 효창동 80,효창동,효창동
4호선,삼각지,서울특별시 용산구 한강로1가 228-1,원효로1동,원효로1동
6호선,삼각지,서울특별시 용산구 한강로1가 228-1,원효로1동,원효로1동
1호선,용산,서울특별시 용산구 한강로3가 40-999,한강로동,한강로동
4호선,신용산,서울특별시 용산구 한강로2가 181,한강로동,한강로동
6호선,한강진,서울특별시 용산구 한남동 726-494,한남동,한남동
5호선,마장,서울특별시 성동구 마장동 772,마장동,마장동
5호선,답십리,서울특별시 성동구 용답동 99,용답동,용답동
3호선,옥수,서울특별시 성동구 옥수동 168-1,옥수동,옥수동
2호선,건대입구,서울특별시 광진구 화양동 7-3,화양동,화양동
7호선,어린이대공원(세종대),서울특별시 광진구 화양동 164-1,화양동,화양동
7호선,건대입구,서울특별시 광진구 화양동 6-3,화양동,화양동
5호선,군자(능동),서울특별시 광진구 능동 275-5,능동,능동
5호선,아차산(어린이대공원후문),서울특별시 광진구 능동 256-16,능동,능동
7호선,군자(능동),서울특별시 광진구 능동 275-5,능동,능동
5호선,광나루(장신대),서울특별시 광진구 광장동 237,광장동,광장동
1호선,제기동,서울특별시 동대문구 제기동 65,제기동,제기동
6호선,안암(고대병원앞),서울특별시 성북구 안암동5가 146-1,안암동,안암동
6호선,보문,서울특별시 성북구 보문동1가 127-1,보문동,보문동
4호선,한성대입구(삼선교),서울특별시 성북구 삼선동1가 14,삼선동,삼선동
4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1,동선동,동선동
6호선,고려대(종암),서울특별시 성북구 종암동 29-18,종암동,종암동
6호선,돌곶이,서울특별시 성북구 석관동 349-8,석관동,석관동
4호선,미아,서울특별시 강북구 미아동 194-1,미아동,미아동
4호선,미아사거리,서울특별시 강북구 미아동 66-1,미아동,미아동
3호선,녹번,서울특별시 은평구 녹번동 55,녹번동,녹번동
6호선,역촌,서울특별시 은평구 녹번동 144-69,녹번동,녹번동
6호선,구산,서울특별시 은평구 구산동 1,구산동,구산동
3호선,불광,서울특별시 은평구 대조동 14-1,대조동,대조동
6호선,불광,서울특별시 은평구 대조동 14-1,대조동,대조동
6호선,디지털미디어시티,서울특별시 은평구 증산동 223-25,증산동,증산동
6호선,증산(명지대앞),서울특별시 은평구 증산동 199-8,증산동,증산동
3호선,구파발,서울특별시 은평구 진관동 67-26,진관동,진관동
6호선,응암,서울특별시 은평구 역촌동 85-41,역촌동,역촌동
1호선,천안,충청남도 천안시 동남구 대흥동 57-1,대흥동,대흥동
6호선,대흥(서강대앞),서울특별시 마포구 대흥동 128-1,대흥동,대흥동
2호선,이대,서울특별시 마포구 염리동 8-85,염리동,염리동
2호선,합정,서울특별시 마포구 서교동 393,서교동,서교동
6호선,합정,서울특별시 마포구 합정동 414,합정동,합정동
1호선,도화,인천광역시 남구 도화동 668,도화동,도화동
5호선,마포,서울특별시 마포구 도화동 160,도화동,도화동
5호선,공덕,서울특별시 마포구 공덕동 423-29,공덕동,공덕동
6호선,공덕,서울특별시 마포구 공덕동 439,공덕동,공덕동
2호선,아현,서울특별시 마포구 아현동 354-23,아현동,아현동
5호선,애오개,서울특별시 마포구 아현동 612,아현동,아현동
9호선,염창,서울특별시 강서구 염창동 284-84,염창동,염창동
5호선,송정,서울특별시 강서구 공항동 29-5,공항동,공항동
9호선,공항시장,서울특별시 강서구 공항동 산 20-2,공항동,공항동
1호선,신도림,서울특별시 구로구 신도림동 460-26,신도림동,신도림동
2호선,신도림,서울특별시 구로구 신도림동 460-26,신도림동,신도림동
1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,가산동,가산동
1호선,독산,서울특별시 금천구 가산동 717,가산동,가산동
7호선,가산디지털단지,서울특별시 금천구 가산동 468-4,가산동,가산동
1호선,영등포,서울특별시 영등포구 영등포동 618-496,영등포동,영등포동
5호선,영등포시장,서울특별시 영등포구 영등포동5가 62-1,영등포동,영등포동
5호선,신길,서울특별시 영등포구 영등포동1가 35,영등포동,영등포동
2호선,문래,서울특별시 영등포구 문래동3가 68-1,문래동,문래동
7호선,상도,서울특별시 동작구 상도1동 702-1,상도1동,상도1동
7호선,신대방삼거리,서울특별시 동작구 대방동 406-10,대방동,대방동
7호선,보라매,서울특별시 동작구 대방동 466-51,대방동,대방동
9호선,흑석(중앙대입구),서울특별시 동작구 흑석동 4,흑석동,흑석동
3호선,압구정,서울특별시 강남구 신사동 668,신사동,신사동
3호선,압구정,서울특별시 강남구 신사동 668,신사동,신사동
3호선,신사,서울특별시 강남구 신사동 667,신사동,신사동
3호선,신사,서울특별시 강남구 신사동 667,신사동,신사동
6호선,새절(신사),서울특별시 은평구 신사동 337-5,신사동,신사동
6호선,새절(신사),서울특별시 은평구 신사동 337-5,신사동,신사동
3호선,압구정,서울특별시 강남구 신사동 668,신사동,신사동
3호선,압구정,서울특별시 강남구 신사동 668,신사동,신사동
3호선,신사,서울특별시 강남구 신사동 667,신사동,신사동
3호선,신사,서울특별시 강남구 신사동 667,신사동,신사동
6호선,새절(신사),서울특별시 은평구 신사동 337-5,신사동,신사동
6호선,새절(신사),서울특별시 은평구 신사동 337-5,신사동,신사동
2호선,신림,서울특별시 관악구 신림동 1467-10,신림동,신림동
2호선,삼성(무역센터),서울특별시 강남구 삼성동 172-66,삼성동,삼성동
2호선,선릉,서울특별시 강남구 삼성동 172-66,삼성동,삼성동
7호선,강남구청,서울특별시 강남구 삼성동 111-44,삼성동,삼성동
9호선,선정릉,서울특별시 강남구 삼성동 111-114,삼성동,삼성동
9호선,삼성중앙,서울특별시 강남구 삼성동 111-147,삼성동,삼성동
9호선,봉은사,서울특별시 강남구 삼성동 172,삼성동,삼성동
3호선,잠원,서울특별시 서초구 잠원동 100-1,잠원동,잠원동
7호선,반포,서울특별시 서초구 잠원동 103,잠원동,잠원동
3호선,수서,서울특별시 강남구 수서동 728,수서동,수서동
7호선,청담,서울특별시 강남구 청담동 77-76,청담동,청담동
3호선,오금,서울특별시 송파구 오금동 44-2,오금동,오금동
5호선,오금,서울특별시 송파구 오금동 44-2,오금동,오금동
8호선,석촌,서울특별시 송파구 석촌동 209,석촌동,석촌동
1호선,세류,경기도 수원시 권선구 장지동 25-4,장지동,장지동
8호선,장지,서울특별시 송파구 장지동 201-5,장지동,장지동
8호선,복정,서울특별시 송파구 장지동 596-21,장지동,장지동
5호선,상일동,서울특별시 강동구 상일동 148,상일동,상일동
5호선,길동,서울특별시 강동구 길동 378,길동,길동
